N,Time,max(abs(vorticity))
1001,0,0
1001,0.1,0
1001,0.2,0
1001,0.3,0
1001,0.4,1.8058
1001,0.5,6.5874
1001,0.6,9.2738
1001,0.7,9.9504
1001,0.8,9.4462
1001,0.9,8.5526
1001,1,8.0308
1001,1.1,8.6832
1001,1.2,8.9072
1001,1.3,8.6203
1001,1.4,7.9468
1001,1.5,7.1126
1001,1.6,7.5252
1001,1.7,7.4782
1001,1.8,7.1331
1001,1.9,6.5788
1001,2,6.4805
1001,2.1,6.4726
1001,2.2,6.0982
1001,2.3,5.0856
1001,2.4,4.9981
1001,2.5,4.5957
1001,2.6,4.095
1001,2.7,4.1935
1001,2.8,3.7551
1001,2.9,4.1514
1001,3,3.6858
1001,3.1,4.0209
1001,3.2,3.7514
1001,3.3,4.259
1001,3.4,4.1811
1001,3.5,4.5357
1001,3.6,4.5748
1001,3.7,4.6067
1001,3.8,4.6997
1001,3.9,4.3004
1001,4,4.2657
1001,4.1,4.0384
1001,4.2,4.9058
1001,4.3,6.0879
1001,4.4,7.3281
1001,4.5,8.2807
1001,4.6,8.7894
1001,4.7,9.0272
1001,4.8,8.7585
1001,4.9,8.6649
1001,5,8.2314
1001,5.1,8.025
1001,5.2,7.6994
1001,5.3,7.4123
1001,5.4,7.1747
1001,5.5,6.8774
1001,5.6,6.6891
1001,5.7,6.424
1001,5.8,6.2776
1001,5.9,6.0907
1001,6,5.9639
1001,6.1,5.8568
1001,6.2,5.8185
1001,6.3,5.7777
1001,6.4,5.809
1001,6.5,5.7737
1001,6.6,5.8456
1001,6.7,5.8452
1001,6.8,5.9313
1001,6.9,5.9395
1001,7,6.0256
1001,7.1,5.9891
1001,7.2,6.0688
1001,7.3,6.0096
1001,7.4,6.0037
1001,7.5,5.9569
1001,7.6,5.8531
1001,7.7,5.8368
1001,7.8,5.7056
1001,7.9,5.6891
1001,8,5.6206
1001,8.1,5.561
1001,8.2,5.5461
1001,8.3,5.4564
1001,8.4,5.4927
1001,8.5,5.4393
1001,8.6,5.4657
1001,8.7,5.4638
1001,8.8,5.4531
1001,8.9,5.5038
1001,9,5.4627
1001,9.1,5.5506
1001,9.2,5.5408
1001,9.3,5.5896
1001,9.4,5.6133
1001,9.5,5.6176
1001,9.6,5.6698
1001,9.7,5.6215
1001,9.8,5.701
1001,9.9,5.6365
1001,10,5.7039
1001,10.1,5.6602
1001,10.2,5.6757
1001,10.3,5.6559
1001,10.4,5.5923
1001,10.5,5.6198
1001,10.6,5.4994
1001,10.7,5.5267
1001,10.8,5.4479
1001,10.9,5.4057
1001,11,5.3586
1001,11.1,5.2535
1001,11.2,5.2325
1001,11.3,5.1158
1001,11.4,5.0765
1001,11.5,4.9928
1001,11.6,4.8884
1001,11.7,4.8437
1001,11.8,4.7337
1001,11.9,4.6635
1001,12,4.597
1001,12.1,4.4882
1001,12.2,4.4347
1001,12.3,4.3661
1001,12.4,4.2694
1001,12.5,4.2242
1001,12.6,4.1627
1001,12.7,4.0878
1001,12.8,4.0368
1001,12.9,3.9928
1001,13,3.9342
1001,13.1,3.8798
1001,13.2,3.8567
1001,13.3,3.8098
1001,13.4,3.7745
1001,13.5,3.7695
1001,13.6,3.7264
1001,13.7,3.7165
1001,13.8,3.7067
1001,13.9,3.6782
1001,14,3.6847
1001,14.1,3.6761
1001,14.2,3.6699
1001,14.3,3.6825
1001,14.4,3.6778
1001,14.5,3.6915
1001,14.6,3.7036
1001,14.7,3.697
1001,14.8,3.7277
1001,14.9,3.7293
1001,15,3.747
1001,15.1,3.7667
1001,15.2,3.7872
1001,15.3,3.7845
1001,15.4,3.8061
1001,15.5,3.8021
1001,15.6,3.8071
1001,15.7,3.7989
1001,15.8,3.819
1001,15.9,3.7665
1001,16,3.7963
1001,16.1,3.752
1001,16.2,3.7627
1001,16.3,3.7334
1001,16.4,3.7211
1001,16.5,3.7094
1001,16.6,3.6775
1001,16.7,3.6863
1001,16.8,3.636
1001,16.9,3.6576
1001,17,3.6181
1001,17.1,3.6465
1001,17.2,3.6188
1001,17.3,3.6314
1001,17.4,3.6244
1001,17.5,3.6229
1001,17.6,3.6355
1001,17.7,3.6164
1001,17.8,3.6486
1001,17.9,3.6087
1001,18,3.6569
1001,18.1,3.6332
1001,18.2,3.6627
1001,18.3,3.6545
1001,18.4,3.6619
1001,18.5,3.6716
1001,18.6,3.6514
1001,18.7,3.6768
1001,18.8,3.6379
1001,18.9,3.6765
1001,19,3.6534
1001,19.1,3.6631
1001,19.2,3.653
1001,19.3,3.6321
1001,19.4,3.6393
1001,19.5,3.5892
1001,19.6,3.6098
1001,19.7,3.3227
1001,19.8,3.4262
1001,19.9,3.462
1001,20,3.4423
1001,20.1,3.3553
1001,20.2,3.4041
1001,20.3,3.214
1001,20.4,3.221
1001,20.5,3.3032
1001,20.6,3.3302
1001,20.7,3.1228
1001,20.8,3.2336
1001,20.9,3.2558
1001,21,3.1177
1001,21.1,3.1578
1001,21.2,3.1739
1001,21.3,3.2065
1001,21.4,3.1903
1001,21.5,3.1895
1001,21.6,3.164
1001,21.7,3.1309
1001,21.8,3.1125
1001,21.9,3.0645
1001,22,3.0589
1001,22.1,3.0083
1001,22.2,3.0072
1001,22.3,2.9739
1001,22.4,2.9553
1001,22.5,2.9347
1001,22.6,2.9047
1001,22.7,2.9021
1001,22.8,2.8641
1001,22.9,2.8642
1001,23,2.8444
1001,23.1,2.8257
1001,23.2,2.8203
1001,23.3,2.7866
1001,23.4,2.7992
1001,23.5,2.7757
1001,23.6,2.7701
1001,23.7,2.7623
1001,23.8,2.7399
1001,23.9,2.7398
1001,24,2.7196
1001,24.1,2.7318
1001,24.2,2.5821
1001,24.3,2.6571
1001,24.4,2.6507
1001,24.5,2.6102
1001,24.6,2.6559
1001,24.7,2.659
1001,24.8,2.6534
1001,24.9,2.5919
1001,25,2.6252
1001,25.1,2.6348
1001,25.2,2.6225
1001,25.3,2.6306
1001,25.4,2.6167
1001,25.5,2.6434
1001,25.6,2.5857
1001,25.7,2.5453
1001,25.8,2.568
1001,25.9,2.5839
1001,26,2.5681
1001,26.1,2.5586
1001,26.2,2.5662
1001,26.3,2.5549
1001,26.4,2.4673
1001,26.5,2.5038
1001,26.6,2.5355
1001,26.7,2.5027
1001,26.8,2.5051
1001,26.9,2.5028
1001,27,2.5156
1001,27.1,2.5198
1001,27.2,2.5372
1001,27.3,2.5285
1001,27.4,2.548
1001,27.5,2.5324
1001,27.6,2.5615
1001,27.7,2.5408
1001,27.8,2.5716
1001,27.9,2.5486
1001,28,2.5831
1001,28.1,2.5612
1001,28.2,2.5943
1001,28.3,2.5689
1001,28.4,2.5952
1001,28.5,2.5908
1001,28.6,2.6229
1001,28.7,2.6034
1001,28.8,2.6366
1001,28.9,2.6191
1001,29,2.6497
1001,29.1,2.6338
1001,29.2,2.6641
1001,29.3,2.6429
1001,29.4,2.6721
1001,29.5,2.6503
1001,29.6,2.678
1001,29.7,2.6565
1001,29.8,2.6771
1001,29.9,2.6563
1001,30,2.6665
1001,30.1,2.6466
1001,30.2,2.6517
1001,30.3,2.6347
1001,30.4,2.632
1001,30.5,2.6161
1001,30.6,2.6062
1001,30.7,2.5926
1001,30.8,2.5718
1001,30.9,2.5595
1001,31,2.5326
1001,31.1,2.5234
1001,31.2,2.4893
1001,31.3,2.4203
1001,31.4,2.3431
1001,31.5,2.3305
1001,31.6,2.3328
1001,31.7,2.3194
1001,31.8,2.2254
1001,31.9,2.2639
1001,32,2.2611
1001,32.1,2.1813
1001,32.2,2.1562
1001,32.3,2.1819
1001,32.4,2.1639
1001,32.5,2.1283
1001,32.6,2.1044
1001,32.7,2.1225
1001,32.8,2.0471
1001,32.9,2.0231
1001,33,2.0494
1001,33.1,2.0344
1001,33.2,2.0041
1001,33.3,1.9711
1001,33.4,1.9957
1001,33.5,1.912
1001,33.6,1.9096
1001,33.7,1.9334
1001,33.8,1.9362
1001,33.9,1.9219
1001,34,1.8731
1001,34.1,1.9001
1001,34.2,1.9081
1001,34.3,1.8536
1001,34.4,1.8477
1001,34.5,1.8748
1001,34.6,1.8725
1001,34.7,1.8566
1001,34.8,1.8435
1001,34.9,1.8744
1001,35,1.8397
1001,35.1,1.8431
1001,35.2,1.8696
1001,35.3,1.8678
1001,35.4,1.8862
1001,35.5,1.8699
1001,35.6,1.8598
1001,35.7,1.8778
1001,35.8,1.8832
1001,35.9,1.8764
1001,36,1.9075
1001,36.1,1.9174
1001,36.2,1.9331
1001,36.3,1.908
1001,36.4,1.8446
1001,36.5,1.912
1001,36.6,1.933
1001,36.7,1.9152
1001,36.8,1.9516
1001,36.9,1.9632
1001,37,1.98
1001,37.1,1.953
1001,37.2,1.9695
1001,37.3,1.9747
1001,37.4,2.0016
1001,37.5,1.9854
1001,37.6,2
1001,37.7,2.0014
1001,37.8,2.018
1001,37.9,1.9818
1001,38,1.9778
1001,38.1,1.9708
1001,38.2,1.9989
1001,38.3,1.9733
1001,38.4,1.9859
1001,38.5,1.9806
1001,38.6,1.9785
1001,38.7,1.9902
1001,38.8,1.9745
1001,38.9,1.9929
1001,39,1.9973
1001,39.1,1.9851
1001,39.2,1.9645
1001,39.3,1.9716
1001,39.4,1.9543
1001,39.5,1.9575
1001,39.6,1.942
1001,39.7,1.9439
1001,39.8,1.9312
1001,39.9,1.9329
1001,40,1.9221
1001,40.1,1.9272
1001,40.2,1.9149
1001,40.3,1.9199
1001,40.4,1.9116
1001,40.5,1.9124
1001,40.6,1.9088
1001,40.7,1.9039
1001,40.8,1.9059
1001,40.9,1.8915
1001,41,1.9031
1001,41.1,1.8922
1001,41.2,1.905
1001,41.3,1.8865
1001,41.4,1.9045
1001,41.5,1.882
1001,41.6,1.9031
1001,41.7,1.8875
1001,41.8,1.9013
1001,41.9,1.8918
1001,42,1.8986
1001,42.1,1.8942
1001,42.2,1.8958
1001,42.3,1.8958
1001,42.4,1.8882
1001,42.5,1.8925
1001,42.6,1.8807
1001,42.7,1.8847
1001,42.8,1.8691
1001,42.9,1.8744
1001,43,1.8557
1001,43.1,1.8632
1001,43.2,1.8456
1001,43.3,1.8489
1001,43.4,1.8339
1001,43.5,1.8305
1001,43.6,1.8168
1001,43.7,1.8113
1001,43.8,1.8015
1001,43.9,1.7919
1001,44,1.7763
1001,44.1,1.7685
1001,44.2,1.7263
1001,44.3,1.6573
1001,44.4,1.6799
1001,44.5,1.6759
1001,44.6,1.6719
1001,44.7,1.6259
1001,44.8,1.5664
1001,44.9,1.604
1001,45,1.6135
1001,45.1,1.5941
1001,45.2,1.5869
1001,45.3,1.5761
1001,45.4,1.5907
1001,45.5,1.5648
1001,45.6,1.5046
1001,45.7,1.5073
1001,45.8,1.5223
1001,45.9,1.5134
1001,46,1.4706
1001,46.1,1.494
1001,46.2,1.4849
1001,46.3,1.4743
1001,46.4,1.437
1001,46.5,1.4087
1001,46.6,1.4198
1001,46.7,1.4227
1001,46.8,1.3987
1001,46.9,1.422
1001,47,1.4141
1001,47.1,1.4127
1001,47.2,1.3859
1001,47.3,1.3612
1001,47.4,1.3729
1001,47.5,1.3768
1001,47.6,1.371
1001,47.7,1.3883
1001,47.8,1.383
1001,47.9,1.3943
1001,48,1.3838
1001,48.1,1.3505
1001,48.2,1.3787
1001,48.3,1.3795
1001,48.4,1.3853
1001,48.5,1.3596
1001,48.6,1.4013
1001,48.7,1.4029
1001,48.8,1.4077
1001,48.9,1.3865
1001,49,1.3391
1001,49.1,1.3854
1001,49.2,1.4015
1001,49.3,1.3953
1001,49.4,1.4262
1001,49.5,1.4277
1001,49.6,1.4407
1001,49.7,1.4269
1001,49.8,1.3903
1001,49.9,1.4255
1001,50,1.4104
1001,50.1,1.4312
1001,50.2,1.459
1001,50.3,1.4632
1001,50.4,1.4794
1001,50.5,1.4853
1001,50.6,1.4578
1001,50.7,1.4694
1001,50.8,1.4681
1001,50.9,1.492
1001,51,1.4816
1001,51.1,1.4917
1001,51.2,1.4876
1001,51.3,1.5084
1001,51.4,1.5013
1001,51.5,1.4625
1001,51.6,1.4639
1001,51.7,1.4653
1001,51.8,1.4873
1001,51.9,1.4725
1001,52,1.4864
1001,52.1,1.4902
1001,52.2,1.5021
1001,52.3,1.4857
1001,52.4,1.4851
1001,52.5,1.4728
1001,52.6,1.496
1001,52.7,1.4782
1001,52.8,1.4771
1001,52.9,1.4643
1001,53,1.4649
1001,53.1,1.4764
1001,53.2,1.4417
1001,53.3,1.4508
1001,53.4,1.4257
1001,53.5,1.4484
1001,53.6,1.4288
1001,53.7,1.4241
1001,53.8,1.4159
1001,53.9,1.4113
1001,54,1.4079
1001,54.1,1.401
1001,54.2,1.4026
1001,54.3,1.3917
1001,54.4,1.3986
1001,54.5,1.3824
1001,54.6,1.3957
1001,54.7,1.3787
1001,54.8,1.3907
1001,54.9,1.3817
1001,55,1.385
1001,55.1,1.3847
1001,55.2,1.3781
1001,55.3,1.387
1001,55.4,1.3707
1001,55.5,1.3885
1001,55.6,1.379
1001,55.7,1.386
1001,55.8,1.3848
1001,55.9,1.381
1001,56,1.39
1001,56.1,1.3764
1001,56.2,1.3941
1001,56.3,1.3851
1001,56.4,1.3914
1001,56.5,1.3927
1001,56.6,1.3856
1001,56.7,1.3971
1001,56.8,1.384
1001,56.9,1.3998
1001,57,1.3924
1001,57.1,1.3949
1001,57.2,1.3976
1001,57.3,1.3844
1001,57.4,1.3992
1001,57.5,1.3856
1001,57.6,1.3882
1001,57.7,1.3865
1001,57.8,1.3766
1001,57.9,1.3856
1001,58,1.3671
1001,58.1,1.3617
1001,58.2,1.3706
1001,58.3,1.3536
1001,58.4,1.34
1001,58.5,1.3344
1001,58.6,1.3328
1001,58.7,1.327
1001,58.8,1.308
1001,58.9,1.2687
1001,59,1.2107
1001,59.1,1.1872
1001,59.2,1.2216
1001,59.3,1.2316
1001,59.4,1.2152
1001,59.5,1.226
1001,59.6,1.2233
1001,59.7,1.2363
1001,59.8,1.2249
1001,59.9,1.186
1001,60,1.1563
1001,60.1,1.155
1001,60.2,1.1714
1001,60.3,1.1682
1001,60.4,1.1304
1001,60.5,1.1643
1001,60.6,1.1675
1001,60.7,1.1671
1001,60.8,1.1386
1001,60.9,1.0825
1001,61,1.1036
1001,61.1,1.1167
1001,61.2,1.1152
1001,61.3,1.0823
1001,61.4,1.0979
1001,61.5,1.0876
1001,61.6,1.0958
1001,61.7,1.0803
1001,61.8,1.0346
1001,61.9,1.0076
1001,62,1.0283
1001,62.1,1.036
1001,62.2,1.0188
1001,62.3,0
1001,62.4,1.0145
1001,62.5,1.0157
1001,62.6,1.0099
1001,62.7,0
1001,62.8,0
1001,62.9,0
1001,63,0
1001,63.1,0
1001,63.2,0
1001,63.3,0
1001,63.4,0
1001,63.5,0
1001,63.6,0
1001,63.7,0
1001,63.8,0
1001,63.9,0
1001,64,0
1001,64.1,0
1001,64.2,0
1001,64.3,0
1001,64.4,0
1001,64.5,0
1001,64.6,0
1001,64.7,0
1001,64.8,0
1001,64.9,0
1001,65,0
1001,65.1,0
1001,65.2,0
1001,65.3,1.0057
1001,65.4,1.0045
1001,65.5,0
1001,65.6,0
1001,65.7,0
1001,65.8,1.0004
1001,65.9,1.0051
1001,66,0
1001,66.1,1.0226
1001,66.2,1.0213
1001,66.3,1.0312
1001,66.4,1.0228
1001,66.5,0
1001,66.6,0
1001,66.7,1.0066
1001,66.8,1.0287
1001,66.9,1.0238
1001,67,0
1001,67.1,1.0376
1001,67.2,1.0394
1001,67.3,1.0478
1001,67.4,1.0313
1001,67.5,1.0001
1001,67.6,0
1001,67.7,1.003
1001,67.8,1.0244
1001,67.9,1.0189
1001,68,1.0309
1001,68.1,1.0268
1001,68.2,1.0422
1001,68.3,1.0448
1001,68.4,1.0246
1001,68.5,0
1001,68.6,1.0055
1001,68.7,1.0084
1001,68.8,1.0213
1001,68.9,1.0096
1001,69,1.0125
1001,69.1,1.0113
1001,69.2,1.0145
1001,69.3,1.0192
1001,69.4,1.0035
1001,69.5,0
1001,69.6,0
1001,69.7,0
1001,69.8,0
1001,69.9,0
1001,70,0
1001,70.1,0
1001,70.2,0
1001,70.3,0
1001,70.4,0
1001,70.5,0
1001,70.6,0
1001,70.7,0
1001,70.8,0
1001,70.9,0
1001,71,0
1001,71.1,0
1001,71.2,0
1001,71.3,0
1001,71.4,0
1001,71.5,0
1001,71.6,0
1001,71.7,0
1001,71.8,0
1001,71.9,0
1001,72,0
1001,72.1,0
1001,72.2,0
1001,72.3,0
1001,72.4,0
1001,72.5,0
1001,72.6,0
1001,72.7,0
1001,72.8,0
1001,72.9,0
1001,73,0
1001,73.1,0
1001,73.2,0
1001,73.3,0
1001,73.4,0
1001,73.5,0
1001,73.6,0
1001,73.7,0
1001,73.8,0
1001,73.9,0
1001,74,0
1001,74.1,0
1001,74.2,0
1001,74.3,0
1001,74.4,0
1001,74.5,0
1001,74.6,0
1001,74.7,0
1001,74.8,0
1001,74.9,0
1001,75,0
1001,75.1,0
1001,75.2,0
1001,75.3,0
1001,75.4,0
1001,75.5,0
1001,75.6,0
1001,75.7,0
1001,75.8,0
1001,75.9,0
1001,76,0
1001,76.1,0
1001,76.2,0
1001,76.3,0
1001,76.4,0
1001,76.5,0
1001,76.6,0
1001,76.7,0
1001,76.8,0
1001,76.9,0
1001,77,0
1001,77.1,0
1001,77.2,0
1001,77.3,0
1001,77.4,0
1001,77.5,0
1001,77.6,0
1001,77.7,0
1001,77.8,0
1001,77.9,0
1001,78,0
1001,78.1,0
1001,78.2,0
1001,78.3,0
1001,78.4,0
1001,78.5,0
1001,78.6,0
1001,78.7,0
1001,78.8,0
1001,78.9,0
1001,79,0
1001,79.1,0
1001,79.2,0
1001,79.3,0
1001,79.4,0
1001,79.5,0
1001,79.6,0
1001,79.7,0
1001,79.8,0
1001,79.9,0
1001,80,0
1001,80.1,0
1001,80.2,0
1001,80.3,0
1001,80.4,0
1001,80.5,0
1001,80.6,0
1001,80.7,0
1001,80.8,0
1001,80.9,0
1001,81,0
1001,81.1,0
1001,81.2,0
1001,81.3,0
1001,81.4,0
1001,81.5,0
1001,81.6,0
1001,81.7,0
1001,81.8,0
1001,81.9,0
1001,82,0
1001,82.1,0
1001,82.2,0
1001,82.3,0
1001,82.4,0
1001,82.5,0
1001,82.6,0
1001,82.7,0
1001,82.8,0
1001,82.9,0
1001,83,0
1001,83.1,0
1001,83.2,0
1001,83.3,0
1001,83.4,0
1001,83.5,0
1001,83.6,0
1001,83.7,0
1001,83.8,0
1001,83.9,0
1001,84,0
1001,84.1,0
1001,84.2,0
1001,84.3,0
1001,84.4,0
1001,84.5,0
1001,84.6,0
1001,84.7,0
1001,84.8,0
1001,84.9,0
1001,85,0
1001,85.1,0
1001,85.2,0
1001,85.3,0
1001,85.4,0
1001,85.5,0
1001,85.6,0
1001,85.7,0
1001,85.8,0
1001,85.9,0
1001,86,0
1001,86.1,0
1001,86.2,0
1001,86.3,0
1001,86.4,0
1001,86.5,0
1001,86.6,0
1001,86.7,0
1001,86.8,0
1001,86.9,0
1001,87,0
1001,87.1,0
1001,87.2,0
1001,87.3,0
1001,87.4,0
1001,87.5,0
1001,87.6,0
1001,87.7,0
1001,87.8,0
1001,87.9,0
1001,88,0
1001,88.1,0
1001,88.2,0
1001,88.3,0
1001,88.4,0
1001,88.5,0
1001,88.6,0
1001,88.7,0
1001,88.8,0
1001,88.9,0
1001,89,0
1001,89.1,0
1001,89.2,0
1001,89.3,0
1001,89.4,0
1001,89.5,0
1001,89.6,0
1001,89.7,0
1001,89.8,0
1001,89.9,0
1001,90,0
1001,90.1,0
1001,90.2,0
1001,90.3,0
1001,90.4,0
1001,90.5,0
1001,90.6,0
1001,90.7,0
1001,90.8,0
1001,90.9,0
1001,91,0
1001,91.1,0
1001,91.2,0
1001,91.3,0
1001,91.4,0
1001,91.5,0
1001,91.6,0
1001,91.7,0
1001,91.8,0
1001,91.9,0
1001,92,0
1001,92.1,0
1001,92.2,0
1001,92.3,0
1001,92.4,0
1001,92.5,0
1001,92.6,0
1001,92.7,0
1001,92.8,0
1001,92.9,0
1001,93,0
1001,93.1,0
1001,93.2,0
1001,93.3,0
1001,93.4,0
1001,93.5,0
1001,93.6,0
1001,93.7,0
1001,93.8,0
1001,93.9,0
1001,94,0
1001,94.1,0
1001,94.2,0
1001,94.3,0
1001,94.4,0
1001,94.5,0
1001,94.6,0
1001,94.7,0
1001,94.8,0
1001,94.9,0
1001,95,0
1001,95.1,0
1001,95.2,0
1001,95.3,0
1001,95.4,0
1001,95.5,0
1001,95.6,0
1001,95.7,0
1001,95.8,0
1001,95.9,0
1001,96,0
1001,96.1,0
1001,96.2,0
1001,96.3,0
1001,96.4,0
1001,96.5,0
1001,96.6,0
1001,96.7,0
1001,96.8,0
1001,96.9,0
1001,97,0
1001,97.1,0
1001,97.2,0
1001,97.3,0
1001,97.4,0
1001,97.5,0
1001,97.6,0
1001,97.7,0
1001,97.8,0
1001,97.9,0
1001,98,0
1001,98.1,0
1001,98.2,0
1001,98.3,0
1001,98.4,0
1001,98.5,0
1001,98.6,0
1001,98.7,0
1001,98.8,0
1001,98.9,0
1001,99,0
1001,99.1,0
1001,99.2,0
1001,99.3,0
1001,99.4,0
1001,99.5,0
1001,99.6,0
1001,99.7,0
1001,99.8,0
1001,99.9,0
1001,100,0
1001,100.1,0
1001,100.2,0
1001,100.3,0
1001,100.4,0
1001,100.5,0
1001,100.6,0
1001,100.7,0
1001,100.8,0
1001,100.9,0
1001,101,0
1001,101.1,0
1001,101.2,0
1001,101.3,0
1001,101.4,0
1001,101.5,0
1001,101.6,0
1001,101.7,0
1001,101.8,0
1001,101.9,0
1001,102,0
1001,102.1,0
1001,102.2,0
1001,102.3,0
1001,102.4,0
1001,102.5,0
1001,102.6,0
1001,102.7,0
1001,102.8,0
1001,102.9,0
1001,103,0
1001,103.1,0
1001,103.2,0
1001,103.3,0
1001,103.4,0
1001,103.5,0
1001,103.6,0
1001,103.7,0
1001,103.8,0
1001,103.9,0
1001,104,0
1001,104.1,0
1001,104.2,0
1001,104.3,0
1001,104.4,0
1001,104.5,0
1001,104.6,0
1001,104.7,0
1001,104.8,0
1001,104.9,0
1001,105,0
1001,105.1,0
1001,105.2,0
1001,105.3,0
1001,105.4,0
1001,105.5,0
1001,105.6,0
1001,105.7,0
1001,105.8,0
1001,105.9,0
1001,106,0
1001,106.1,0
1001,106.2,0
1001,106.3,0
1001,106.4,0
1001,106.5,0
1001,106.6,0
1001,106.7,0
1001,106.8,0
1001,106.9,0
1001,107,0
1001,107.1,0
1001,107.2,0
1001,107.3,0
1001,107.4,0
1001,107.5,0
1001,107.6,0
1001,107.7,0
1001,107.8,0
1001,107.9,0
1001,108,0
1001,108.1,0
1001,108.2,0
1001,108.3,0
1001,108.4,0
1001,108.5,0
1001,108.6,0
1001,108.7,0
1001,108.8,0
1001,108.9,0
1001,109,0
1001,109.1,0
1001,109.2,0
1001,109.3,0
1001,109.4,0
1001,109.5,0
1001,109.6,0
1001,109.7,0
1001,109.8,0
1001,109.9,0
1001,110,0
1001,110.1,0
1001,110.2,0
1001,110.3,0
1001,110.4,0
1001,110.5,0
1001,110.6,0
1001,110.7,0
1001,110.8,0
1001,110.9,0
1001,111,0
1001,111.1,0
1001,111.2,0
1001,111.3,0
1001,111.4,0
1001,111.5,0
1001,111.6,0
1001,111.7,0
1001,111.8,0
1001,111.9,0
1001,112,0
1001,112.1,0
1001,112.2,0
1001,112.3,0
1001,112.4,0
1001,112.5,0
1001,112.6,0
1001,112.7,0
1001,112.8,0
1001,112.9,0
1001,113,0
1001,113.1,0
1001,113.2,0
1001,113.3,0
1001,113.4,0
1001,113.5,0
1001,113.6,0
1001,113.7,0
1001,113.8,0
1001,113.9,0
1001,114,0
1001,114.1,0
1001,114.2,0
1001,114.3,0
1001,114.4,0
1001,114.5,0
1001,114.6,0
1001,114.7,0
1001,114.8,0
1001,114.9,0
1001,115,0
1001,115.1,0
1001,115.2,0
1001,115.3,0
1001,115.4,0
1001,115.5,0
1001,115.6,0
1001,115.7,0
1001,115.8,0
1001,115.9,0
1001,116,0
1001,116.1,0
1001,116.2,0
1001,116.3,0
1001,116.4,0
1001,116.5,0
1001,116.6,0
1001,116.7,0
1001,116.8,0
1001,116.9,0
1001,117,0
1001,117.1,0
1001,117.2,0
1001,117.3,0
1001,117.4,0
1001,117.5,0
1001,117.6,0
1001,117.7,0
1001,117.8,0
1001,117.9,0
1001,118,0
1001,118.1,0
1001,118.2,0
1001,118.3,0
1001,118.4,0
1001,118.5,0
1001,118.6,0
1001,118.7,0
1001,118.8,0
1001,118.9,0
1001,119,0
1001,119.1,0
1001,119.2,0
1001,119.3,0
1001,119.4,0
1001,119.5,0
1001,119.6,0
1001,119.7,0
1001,119.8,0
1001,119.9,0
1001,120,0
1001,120.1,0
